,batch_size,lr,mlp_dropout,weight_decay,hidden_size,grad_clip,result_variance,tuning_epochs,tuning_loss_MSE
143,32,1e-05,0.3,0.1,8,1.0,0.0015063401512725738,100,0.17429409606059945
144,64,0.01,0.1,0.0,8,,2.886249220368881e-05,92,0.14055982898348648
145,64,1e-06,0.2,0.0,64,5.0,0.00011205682830074575,100,0.23914604410684465
146,64,0.001,0.5,0.0,8,5.0,0.00012608955074227575,70,0.13802304570980584
147,256,1e-06,0.5,0.0,16,,8.669233739674215e-06,28,0.24687084884507693
148,256,0.001,0.2,0.001,64,2.0,0.00018858938618667283,100,0.14654973421849005
149,256,0.01,0.4,0.1,16,0.5,0.00025501079536672296,20,0.14891336988541218
150,256,1e-05,0.4,0.01,16,0.5,0.00019223625097225836,100,0.21377893897748143
151,128,0.0001,0.1,0.0001,128,5.0,0.000247759408583139,100,0.14629673783857017
152,16,1e-06,0.4,0.0001,8,2.0,2.0757130340395718e-05,100,0.26767232047343437
153,256,0.01,0.0,0.1,16,0.5,4.040711733932714e-06,21,0.14928210165204067
154,64,1e-05,0.0,0.1,64,2.0,0.00037610527686063837,100,0.14458932594096519
155,32,0.01,0.4,0.1,256,,3.840202026877085e-05,28,0.14911723071042657
156,64,1e-06,0.2,1e-05,256,1.0,0.0005845113352084453,100,0.17592224204204743
157,16,1e-05,0.3,0.1,256,0.5,0.0007274808292706103,61,0.1453803484119045
158,16,0.001,0.0,0.0,256,0.5,0.0003263732338817829,100,0.16574701887191046
159,64,1e-06,0.5,0.001,128,0.5,0.00024737216651142416,100,0.214589230905729
160,32,0.0001,0.1,1e-05,128,0.5,0.00025545213956738335,100,0.1514895133296179
161,32,0.0001,0.0,0.0,64,5.0,0.00020511297574875114,100,0.1618085190415631
162,32,0.001,0.3,0.0,256,2.0,0.00021558984780572967,100,0.1470660415662503
163,64,1e-06,0.5,0.0,256,0.5,0.00022274835410308284,100,0.19921766997336346
164,256,0.001,0.4,0.0,16,2.0,0.00023895132521210523,100,0.13831802304624435
165,32,0.01,0.2,1e-05,64,,1.8078426132890617e-05,99,0.139319332589119
