,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
238,16,5,0.0001,0.3,0.001,0.5,64,34,0.1431031156790346
239,64,3,0.001,0.5,0.0001,5.0,256,100,0.13538881284543056
240,32,2,0.0001,0.3,0.01,,8,36,0.14443249029249797
241,32,5,1e-05,0.2,0.0001,,128,100,0.13914816447188205
242,32,5,0.01,0.3,0.0,2.0,256,22,0.14542711007580808
243,16,1,1e-06,0.3,1e-05,0.5,128,95,0.14433812911684193
244,16,5,1e-05,0.1,1e-05,5.0,16,60,0.14468840096616967
245,64,5,0.0001,0.0,0.01,5.0,64,29,0.14548010402866718
246,128,5,1e-05,0.0,0.0001,1.0,128,100,0.1415417478157173
247,128,2,1e-06,0.3,0.0,5.0,8,100,0.1991419497715436
248,256,5,1e-06,0.2,0.0,2.0,8,100,0.2704651689337416
249,32,3,1e-06,0.0,1e-05,5.0,256,100,0.14272776224376246
250,64,3,0.001,0.4,0.001,1.0,16,60,0.1412238122701209
251,128,3,1e-06,0.4,1e-05,1.0,8,100,0.28743130288507757
252,16,1,0.0001,0.5,0.0,,16,100,0.1403032696176672
253,64,3,0.0001,0.3,1e-05,0.5,16,100,0.14118872725709125
254,128,5,0.001,0.0,1e-05,,64,100,0.19528559952416757
255,16,5,0.001,0.3,1e-05,5.0,128,37,0.13596928529656208
256,32,2,0.0001,0.5,0.001,5.0,256,76,0.14323913438156832
257,64,1,1e-06,0.3,0.0,1.0,64,100,0.1454267890101781
258,128,1,1e-05,0.2,0.0001,,256,100,0.14140224066284038
259,128,5,0.0001,0.5,0.001,0.5,128,92,0.14105621937969964
260,128,5,1e-05,0.1,0.0,2.0,16,65,0.14518412270091022
261,64,3,1e-05,0.5,0.001,,8,89,0.14431449576828748
262,16,3,0.01,0.5,0.01,0.5,256,18,0.15155676707891594
263,32,5,0.001,0.2,0.0001,0.5,256,62,0.13577389590707337
264,128,5,0.0001,0.1,0.001,2.0,8,67,0.14449800160093965
265,32,5,0.0001,0.1,0.0,,64,100,0.13630359133980346
266,64,2,1e-05,0.4,0.01,2.0,64,92,0.14485837637650797
267,128,2,0.001,0.5,0.001,,8,64,0.14259082087475317
268,32,2,0.01,0.0,0.0,,64,48,0.13895972758869043
269,16,5,0.01,0.4,0.0001,0.5,16,21,0.14693259163267722
270,16,2,0.0001,0.4,1e-05,2.0,256,100,0.14718420184438138
271,64,2,0.0001,0.0,0.001,,16,88,0.14184663243008022
272,64,5,0.0001,0.1,0.01,0.5,128,40,0.14903840435940532
273,64,2,1e-05,0.3,0.01,,64,97,0.14427671344228427
274,256,3,0.0001,0.1,0.0001,1.0,128,100,0.1394889159433314
275,128,5,0.01,0.5,0.0,5.0,8,81,0.13754301962836632
276,32,2,0.0001,0.1,0.0,,16,100,0.13951549676420785
277,32,3,0.0001,0.2,0.001,2.0,64,73,0.14092451270173448
278,128,3,0.001,0.5,1e-05,0.5,16,100,0.13503847260304286
279,256,5,0.001,0.2,1e-05,5.0,256,100,0.18126377242412023
280,16,2,0.001,0.2,0.0,0.5,256,100,0.16191286293645377
281,16,3,0.001,0.0,0.0,1.0,8,100,0.13793428254625956
282,256,2,1e-06,0.1,1e-05,5.0,8,100,0.17797744514247438
283,64,2,1e-06,0.4,0.0001,0.5,8,100,0.14771503429529217
284,256,2,1e-05,0.2,0.01,,16,100,0.14633231459455093
285,256,3,0.0001,0.4,1e-05,,128,100,0.1388626755413702
286,16,3,1e-06,0.2,0.01,,64,100,0.14448179275044779
287,128,1,1e-05,0.2,1e-05,1.0,256,84,0.14011325584670833
288,16,1,0.01,0.3,1e-05,0.5,256,41,0.14228076736691264
289,32,3,0.001,0.5,0.01,,64,34,0.1445747080617589
290,128,2,0.01,0.1,0.01,,256,34,0.14528115439878636
291,256,1,0.01,0.0,0.001,1.0,8,32,0.1480151844110179
292,64,2,0.0001,0.4,0.001,1.0,16,100,0.14318185739920333
293,32,1,1e-05,0.1,0.0,0.5,64,52,0.14379728882236728
294,16,1,1e-05,0.1,0.0,0.5,8,59,0.1450556325661363
295,256,3,0.01,0.5,0.001,0.5,128,32,0.1444763419595528
296,256,1,0.0001,0.5,0.01,0.5,16,49,0.1452847612176218
297,32,1,1e-05,0.2,1e-05,1.0,256,69,0.14258757293987315
298,128,2,0.01,0.1,0.0,0.5,128,76,0.137022854478102
299,256,3,1e-05,0.4,0.01,2.0,8,69,0.14851991163915446
300,16,3,0.001,0.3,0.01,2.0,128,26,0.14446478249065767
301,256,2,1e-06,0.1,1e-05,1.0,256,100,0.1434768186042389
302,32,2,0.0001,0.4,0.0,5.0,8,88,0.1421126055105827
303,128,5,1e-05,0.1,0.001,,128,100,0.14054585600009548
304,16,2,0.001,0.5,0.01,,128,34,0.14445975505471656
305,16,3,1e-05,0.3,0.01,,256,50,0.1428094451125873
306,32,1,1e-05,0.4,0.01,5.0,256,85,0.14350254043796815
307,64,5,1e-06,0.5,0.0001,0.5,256,100,0.14591493252662185
308,256,5,1e-05,0.2,0.0,5.0,16,100,0.1459483787142823
309,32,1,0.0001,0.4,0.0,1.0,64,100,0.1379924188229811
310,256,2,0.0001,0.5,1e-05,2.0,128,100,0.13797512280738108
311,16,2,1e-05,0.1,0.01,,16,73,0.14422943331652308
312,16,5,1e-05,0.3,0.001,1.0,64,92,0.1422410082401631
313,128,5,0.001,0.4,0.001,,256,54,0.1427131065901514
314,256,3,1e-06,0.2,0.0001,0.5,128,100,0.1460921518040334
315,256,3,0.0001,0.0,0.0001,0.5,16,100,0.14329468324531028
316,32,1,0.001,0.2,0.0,2.0,256,100,0.18965432260807497
317,16,1,0.01,0.5,0.0,1.0,16,81,0.13698873343489848
318,64,5,0.001,0.0,1e-05,5.0,256,100,0.20745710596779696
319,64,2,1e-05,0.1,0.0001,2.0,8,100,0.14600729427467687
320,32,1,1e-06,0.0,1e-05,2.0,256,100,0.14290253053116536
321,256,1,0.01,0.1,0.001,5.0,128,48,0.1346128240032762
322,32,2,0.001,0.1,0.0,1.0,256,100,0.18122165136480486
323,128,2,1e-06,0.5,0.01,,64,100,0.14669628241994845
324,256,3,0.0001,0.3,1e-05,1.0,128,100,0.13717356748026893
325,128,1,0.001,0.2,0.01,,8,43,0.14489198237120945
326,64,2,0.0001,0.2,0.001,5.0,8,46,0.14449144867774824
327,128,5,0.0001,0.4,0.01,5.0,128,54,0.1457399026236465
328,256,5,0.0001,0.2,0.001,2.0,16,75,0.14444925882868634
329,32,3,0.01,0.1,0.001,5.0,128,24,0.1445407819284268
330,16,1,0.001,0.5,0.0,5.0,64,100,0.1394249563267721
331,32,5,1e-06,0.4,0.0001,,64,100,0.1455559929271324
332,16,1,1e-05,0.3,0.01,2.0,16,81,0.14416918567322715
333,128,5,0.01,0.2,0.01,5.0,64,27,0.14477163258840942
334,128,5,0.01,0.3,0.001,,16,29,0.14609753267224085
335,16,1,0.001,0.4,0.0001,0.5,8,63,0.13931448040154099
336,64,5,0.01,0.3,0.001,1.0,128,25,0.14454920199840007
337,256,3,0.01,0.3,0.01,2.0,128,23,0.1446353867031683
338,64,2,1e-06,0.4,1e-05,0.5,128,100,0.14551726368699108
339,128,2,1e-05,0.2,1e-05,5.0,16,100,0.14488769533606013
340,64,3,0.0001,0.4,0.0001,1.0,128,100,0.13788355158908924
341,256,3,0.001,0.4,0.0001,5.0,16,67,0.14064754626807624
342,64,1,1e-06,0.3,0.001,1.0,8,100,0.20912649302957834
343,256,2,1e-06,0.5,0.01,1.0,8,100,0.2463496414912302
344,32,3,0.0001,0.1,1e-05,5.0,64,100,0.1380164671753727
345,16,2,0.001,0.1,0.0,0.5,256,100,0.17344594933066393
