,Unnamed: 0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
32,32,3531,,2024-03-16,,,,"Booser, Cam",665155,592155,field_out,hit_into_play,,,,,,Nick Maton pops out to shortstop Nick Sogard.,S,L,L,BAL,BOS,X,6.0,popup,0,0,2024,,,,,,,,0,8,Bot,132.63,130.13,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0.0,0.0,,63,1,,3,4,3,4,4,3,3,4,,,,-0.062,,,,,,,-1,-1,0.297,0.297,32,27,32,27,1,0,,,,,,,,
33,33,2340,,2024-03-16,,,,"Ort, Kaleb",686765,672391,strikeout,swinging_strike,,,,,,Nick Sogard strikes out swinging.,S,L,R,BAL,BOS,S,2.0,,0,2,2024,,,,,,642197.0,679663.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.0,,0.0,0.0,,62,3,,3,4,4,3,4,3,4,3,,,,0.043,,,,,,,-1,1,0.254,0.746,32,26,32,27,1,0,,,,,,,,
34,34,2429,,2024-03-16,,,,"Ort, Kaleb",686765,672391,,swinging_strike,,,,,,Nick Sogard strikes out swinging.,S,L,R,BAL,BOS,S,,,0,1,2024,,,,,,642197.0,679663.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,62,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.254,0.746,32,26,32,27,1,0,,,,,,,,
35,35,2728,,2024-03-16,,,,"Ort, Kaleb",686765,672391,,swinging_strike,,,,,,Nick Sogard strikes out swinging.,S,L,R,BAL,BOS,S,,,0,0,2024,,,,,,642197.0,679663.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,62,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.254,0.746,32,26,32,27,1,0,,,,,,,,
36,36,2769,,2024-03-16,,,,"Ort, Kaleb",679663,672391,walk,ball,,,,,,Stephen Scott walks.   Jamie Westbrook to 2nd.,S,L,R,BAL,BOS,B,,,3,0,2024,,,,,,,642197.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.7,,0.0,0.0,,61,4,,3,4,4,3,4,3,4,3,,,,-0.019,,,,,,,-1,1,0.273,0.727,32,27,32,27,1,0,,,,,,,,
37,37,3080,,2024-03-16,,,,"Ort, Kaleb",679663,672391,,ball,,,,,,Stephen Scott walks.   Jamie Westbrook to 2nd.,S,L,R,BAL,BOS,B,,,2,0,2024,,,,,,,642197.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,61,3,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.273,0.727,32,27,32,27,1,0,,,,,,,,
38,38,3167,,2024-03-16,,,,"Ort, Kaleb",679663,672391,,ball,,,,,,Stephen Scott walks.   Jamie Westbrook to 2nd.,S,L,R,BAL,BOS,B,,,1,0,2024,,,,,,,642197.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,61,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.273,0.727,32,27,32,27,1,0,,,,,,,,
39,39,3323,,2024-03-16,,,,"Ort, Kaleb",679663,672391,,ball,,,,,,Stephen Scott walks.   Jamie Westbrook to 2nd.,S,L,R,BAL,BOS,B,,,0,0,2024,,,,,,,642197.0,2,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,61,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.273,0.727,32,27,32,27,1,0,,,,,,,,
40,40,3577,,2024-03-16,,,,"Ort, Kaleb",676628,672391,field_out,hit_into_play,,,,,,Mark Contreras flies out to center fielder Daniel Johnson.,S,L,R,BAL,BOS,X,8.0,fly_ball,0,0,2024,,,,,,,642197.0,1,8,Top,88.51,56.39,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.0,,0.0,0.0,,60,1,,3,4,4,3,4,3,4,3,,,,0.028,,,,,,,-1,1,0.245,0.755,32,29,32,29,1,0,,,,,,,,
41,41,1580,,2024-03-16,,,,"Webb, Jacob",642197,657097,walk,ball,,,,,,Jamie Westbrook walks.,S,R,R,BAL,BOS,B,,,3,0,2024,,,,,,,,1,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.7,,0.0,0.0,,59,4,,3,4,4,3,4,3,4,3,,,,-0.024,,,,,,,-1,1,0.269,0.731,30,29,31,29,1,1,,,,,,,,
42,42,1636,,2024-03-16,,,,"Webb, Jacob",642197,657097,,ball,,,,,,Jamie Westbrook walks.,S,R,R,BAL,BOS,B,,,2,0,2024,,,,,,,,1,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,59,3,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.269,0.731,30,29,31,29,1,1,,,,,,,,
43,43,1837,,2024-03-16,,,,"Webb, Jacob",642197,657097,,ball,,,,,,Jamie Westbrook walks.,S,R,R,BAL,BOS,B,,,1,0,2024,,,,,,,,1,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,59,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.269,0.731,30,29,31,29,1,1,,,,,,,,
44,44,1930,,2024-03-16,,,,"Webb, Jacob",642197,657097,,ball,,,,,,Jamie Westbrook walks.,S,R,R,BAL,BOS,B,,,0,0,2024,,,,,,,,1,8,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,59,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.269,0.731,30,29,31,29,1,1,,,,,,,,
45,45,2033,,2024-03-16,,,,"Webb, Jacob",656388,657097,field_out,hit_into_play,,,,,,Joe Dunand flies out to right fielder Dylan Beavers.,S,R,R,BAL,BOS,X,9.0,fly_ball,0,0,2024,,,,,,,,0,8,Top,171.92,108.37,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.0,,0.0,0.0,,58,1,,3,4,4,3,4,3,4,3,,,,0.022,,,,,,,-1,1,0.247,0.753,30,28,31,29,1,0,,,,,,,,
46,46,2143,,2024-03-16,,,,"Hagenman, Justin",623993,663795,grounded_into_double_play,hit_into_play,,,,,,"Anthony Santander grounds into a double play, shortstop Nick Sogard to first baseman Niko Kavadas.   Connor Norby out at 2nd.    Anthony Santander out at 1st.",S,L,R,BAL,BOS,X,6.0,ground_ball,0,0,2024,,,,,,,681393.0,1,7,Bot,124.17,148.27,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0.0,0.0,,57,1,,3,4,3,4,4,3,3,4,,,,-0.113,,,,,,,-1,-1,0.36,0.36,27,29,28,30,1,3,,,,,,,,
47,47,2373,,2024-03-16,,,,"Hagenman, Justin",642021,663795,field_out,hit_into_play,,,,,,Errol Robinson flies out to center fielder Tyler McDonough.,S,R,R,BAL,BOS,X,8.0,fly_ball,0,0,2024,,,,,,,681393.0,0,7,Bot,126.59,46.72,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0.0,0.0,,56,1,,3,4,3,4,4,3,3,4,,,,-0.071,,,,,,,-1,-1,0.431,0.431,27,29,28,30,1,0,,,,,,,,
