,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
120,128,1,0.0001,0.5,0.0001,0.5,16,45,0.14281904910632187
121,64,3,1e-05,0.33,0.01,,16,68,0.1439209844106763
122,32,1,0.001,0.5,0.0001,,64,148,0.131546744209267
123,128,2,1e-05,0.33,0.001,2.0,256,128,0.13895035974469094
124,64,2,0.001,0.5,0.0001,2.0,256,62,0.13089989469107693
125,32,3,0.001,0.33,0.0001,0.5,64,141,0.13221156207677637
126,32,2,0.0001,0.0,0.01,2.0,128,46,0.14373158095734578
127,16,1,1e-05,0.2,0.0,,128,150,0.13863056075291305
128,256,3,0.0001,0.2,0.0,2.0,64,150,0.1364943564787269
129,256,1,0.01,0.2,0.001,2.0,128,65,0.13593162574065568
130,128,3,0.0001,0.2,0.0001,2.0,64,115,0.1363647396849045
131,256,3,0.0001,0.5,0.0,,16,80,0.14380416418629607
132,16,1,1e-05,0.1,0.01,,8,45,0.14351760594276525
133,16,1,0.01,0.0,1e-05,,64,58,0.13771160762081386
134,32,1,0.0001,0.33,0.001,2.0,8,68,0.1431636252073549
135,256,2,0.0001,0.33,0.0,0.5,128,94,0.13679447760384808
136,256,1,0.01,0.1,0.0,1.0,128,150,0.1525656173436736
137,32,1,1e-05,0.5,0.0,0.5,64,88,0.14284756927957462
138,32,3,0.0001,0.2,1e-05,,64,89,0.136705709416018
139,16,3,0.001,0.2,0.0001,,64,101,0.1319003952116996
140,256,3,0.001,0.5,0.0001,1.0,64,150,0.1346075279274444
141,32,1,0.001,0.2,0.0001,0.5,8,87,0.13799953472187654
142,16,3,1e-05,0.1,1e-05,1.0,256,150,0.1370366698300532
143,128,3,0.0001,0.2,0.001,1.0,128,84,0.1373551977869535
144,16,2,0.001,0.0,0.0,2.0,16,150,0.1664933781809406
145,32,2,0.001,0.5,0.01,,64,35,0.14354455697196816
146,64,1,1e-05,0.0,1e-05,2.0,8,118,0.1445156093290732
147,128,2,1e-05,0.2,1e-05,2.0,16,114,0.14438249657268404
148,32,1,1e-05,0.1,1e-05,1.0,256,150,0.1393952899090195
149,16,2,1e-05,0.1,0.0001,0.5,16,105,0.14317981741592403
